id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,18480001,8,SERPA,URIBE,HORACIO,76,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,19980003,10,BETANCOURT,PULECIO,INGRID,3,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,997,TARJETAS NO MARCADAS,,,18,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,998,VOTOS NULOS,,,16,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5004,ABRIAQUI,Nacional,,999,VOTOS EN BLANCO,,,4,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20020005,1,GARZON,,LUIS EDUARDO,41,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20020003,2,SANIN,POSADA,MARTA NOEMI DEL ESPIRITU SANTO,251,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20020006,3,BEDOYA,PIZARRO,HAROLD,6,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20020001,4,URIBE,VELEZ,ALVARO,604,1
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,19940007,5,TOVAR,GARCES,FRANCISCO ANTONIO,9,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,19980014,6,CARDONA,MORENO,GUILLERMO ANTONIO,14,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,19980015,7,LORA,RAMIREZ,AUGUSTO GUILLERMO,7,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,18480001,8,SERPA,URIBE,HORACIO,81,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,20000203,9,CRISTANCHO,TOSCANO,ALVARO,4,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,19980003,10,BETANCOURT,PULECIO,INGRID,4,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,997,TARJETAS NO MARCADAS,,,74,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,998,VOTOS NULOS,,,23,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5021,ALEJANDRIA,Nacional,,999,VOTOS EN BLANCO,,,47,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,20020005,1,GARZON,,LUIS EDUARDO,225,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,20020003,2,SANIN,POSADA,MARTA NOEMI DEL ESPIRITU SANTO,1250,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,20020006,3,BEDOYA,PIZARRO,HAROLD,23,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,20020001,4,URIBE,VELEZ,ALVARO,3872,1
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,19940007,5,TOVAR,GARCES,FRANCISCO ANTONIO,11,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,19980014,6,CARDONA,MORENO,GUILLERMO ANTONIO,9,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,19980015,7,LORA,RAMIREZ,AUGUSTO GUILLERMO,5,0
120020000,2002,Presidencia,Mayo 26,5,ANTIOQUIA,5030,AMAGA,Nacional,18480001,8,SERPA,URIBE,HORACIO,2093,0
