divipola,municipio,departamento,region_dane,ano,pct_izquierda,pct_izquierda_predicho,residuo,lag_pct_izquierda,nbi_total,per_ocu,baja_confiabilidad_electoral,peso_muestral,votos_totales_emitidos,ventana_estable,anio_train_min,anio_train_max,residuo_centrado
05001,MEDELLIN,ANTIOQUIA,Andina,2010,4.026877647784978,30.77592646085744,-26.749048813072463,18.47099247635573,12.424089750899132,53294.0,0,1.0,737496.0,False,2006,2006,
05002,ABEJORRAL,ANTIOQUIA,Andina,2010,1.0268948655256724,20.871145859667035,-19.844250994141362,6.190568600815059,33.851119628807744,53294.0,0,1.0,6297.0,False,2006,2006,
05004,ABRIAQUI,ANTIOQUIA,Andina,2010,1.2642225031605565,25.83050812930743,-24.566285626146872,12.063953488372094,28.538283062645007,53294.0,0,1.0,813.0,False,2006,2006,
05021,ALEJANDRIA,ANTIOQUIA,Andina,2010,0.7323943661971831,21.25563466076342,-20.523240294566236,6.730115567641061,33.13609467455622,53294.0,0,1.0,1812.0,False,2006,2006,
05030,AMAGA,ANTIOQUIA,Andina,2010,2.3533715400560906,35.46055966480445,-33.10718812474836,23.12120740625486,27.06904491504551,53294.0,0,1.0,8551.0,False,2006,2006,
05031,AMALFI,ANTIOQUIA,Andina,2010,1.3404077073443172,26.38443786525366,-25.04403015790934,11.794117647058822,45.285489496430046,53294.0,0,1.0,3786.0,False,2006,2006,
05034,ANDES,ANTIOQUIA,Andina,2010,1.9929401382556255,24.25480328821643,-22.261863149960803,10.259793814432989,30.493140161017763,53294.0,0,1.0,13929.0,False,2006,2006,
05036,ANGELOPOLIS,ANTIOQUIA,Andina,2010,0.999000999000999,28.021629166193648,-27.02262816719265,14.66275659824047,25.972772326728062,53294.0,0,1.0,2062.0,False,2006,2006,
05038,ANGOSTURA,ANTIOQUIA,Andina,2010,2.881205673758865,23.918812248119295,-21.03760657436043,8.530280649926144,55.15901917941248,53294.0,0,1.0,2468.0,False,2006,2006,
05040,ANORI,ANTIOQUIA,Andina,2010,1.1250827266710788,32.92025422112572,-31.79517149445464,19.06052393857272,48.14006650041563,53294.0,0,1.0,1575.0,False,2006,2006,
05042,SANTA FE DE ANTIOQUIA,ANTIOQUIA,Andina,2010,5.086206896551724,36.736730115651994,-31.650523219100272,23.720596157299337,44.10495423308613,53294.0,0,1.0,7374.0,False,2006,2006,
05044,ANZA,ANTIOQUIA,Andina,2010,0.9870918754745632,20.363339784119162,-19.3762479086446,4.706927175843695,51.33631800298467,53294.0,0,1.0,1367.0,False,2006,2006,
05045,APARTADO,ANTIOQUIA,Andina,2010,10.991514511176412,23.214526635757217,-12.223012124580805,9.205058313597569,24.533834503697136,53294.0,0,1.0,31603.0,False,2006,2006,
05051,ARBOLETES,ANTIOQUIA,Andina,2010,5.122201082979657,25.68783378872031,-20.565632705740654,10.044679794803905,72.39527088575151,53294.0,0,1.0,6975.0,False,2006,2006,
05055,ARGELIA,ANTIOQUIA,Andina,2010,0.2235469448584202,24.774263806822116,-24.550716861963696,10.2880658436214,38.96526237989653,53294.0,0,1.0,2710.0,False,2006,2006,
05059,ARMENIA,ANTIOQUIA,Andina,2010,1.0131108462455305,23.212302475725608,-22.199191629480076,8.492307692307692,39.83084185680566,53294.0,0,1.0,1768.0,False,2006,2006,
05079,BARBOSA,ANTIOQUIA,Andina,2010,3.523917350693462,39.84226915970396,-36.3183518090105,28.40118302018093,21.7287373181744,53294.0,0,1.0,14774.0,False,2006,2006,
05086,BELMIRA,ANTIOQUIA,Andina,2010,1.7977528089887642,24.676908521194754,-22.87915571220599,10.624249699879952,29.049466537342383,53294.0,0,1.0,1861.0,False,2006,2006,
05088,BELLO,ANTIOQUIA,Andina,2010,4.898458274711433,37.26099539023886,-32.36253711552743,25.934831588314367,10.582630185837258,53294.0,0,1.0,142273.0,False,2006,2006,
05091,BETANIA,ANTIOQUIA,Andina,2010,0.8641548565502939,21.98657248425775,-21.122417627707456,7.636207636207636,31.24500399680256,53294.0,0,1.0,2946.0,False,2006,2006,
05093,BETULIA,ANTIOQUIA,Andina,2010,0.8165019338203695,18.97189054935073,-18.15538861553036,3.4530771372876634,45.35628019323672,53294.0,0,1.0,4764.0,False,2006,2006,
