divipola,ano,departamento,municipio,votos_validos,votos_izquierda,pct_izquierda,votos_blanco,votos_nulos,votos_totales_emitidos,pct_votos_blanco,num_candidatos,lag_pct_izquierda,lag_pct_votos_blanco,lag_pct_izquierda_imputado,lag_pct_votos_blanco_imputado,peso_muestral,nbi_total,fuente_nbi,per_ocu,baja_confiabilidad_electoral,valido_para_modelado,region_dane
05113,2006,ANTIOQUIA,BURITICA,1558,122.0,7.830551989730424,41.0,32.0,1631.0,2.5137952176578784,7,1.3321492007104796,2.1204410517387617,0,0,1.0,70.30227485197881,2005,64310.0,0,1,Andina
05120,2006,ANTIOQUIA,CACERES,5327,545.0,10.23089919279144,83.0,89.0,5499.0,1.5093653391525732,7,2.084201750729471,0.9491114701130856,0,0,1.0,66.80632120543918,2005,64310.0,0,1,Andina
05125,2006,ANTIOQUIA,CAICEDO,1732,116.0,6.697459584295612,34.0,26.0,1792.0,1.8973214285714284,7,1.0092514718250631,3.440187646598905,0,0,1.0,63.85227717604072,2005,64310.0,0,1,Andina
05129,2006,ANTIOQUIA,CALDAS,21861,6275.0,28.70408490005032,815.0,563.0,23239.0,3.5070355867292053,7,5.741742321807997,2.9083902931327126,0,0,1.0,13.015157249791343,2005,64310.0,0,1,Andina
05134,2006,ANTIOQUIA,CAMPAMENTO,462,79.0,17.0995670995671,18.0,14.0,494.0,3.643724696356275,7,3.045685279187817,3.1948881789137378,0,0,0.988,100.0,2005,64310.0,0,1,Andina
05138,2006,ANTIOQUIA,CANASGORDAS,3756,310.0,8.25346112886049,80.0,41.0,3877.0,2.063451122001548,7,2.576839490841353,2.373974208675264,0,0,1.0,57.08539038215395,2005,64310.0,0,1,Andina
05142,2006,ANTIOQUIA,CARACOLI,1288,300.0,23.29192546583851,16.0,12.0,1316.0,1.21580547112462,7,1.8392370572207088,2.825947334617855,0,0,1.0,29.927935565917764,2005,64310.0,0,1,Andina
05145,2006,ANTIOQUIA,CARAMANTA,2103,343.0,16.310033285782215,33.0,44.0,2180.0,1.5137614678899085,7,4.1530054644808745,0.8975712777191129,0,0,1.0,25.0,2005,64310.0,0,1,Andina
05147,2006,ANTIOQUIA,CAREPA,8631,548.0,6.349206349206349,181.0,96.0,8908.0,2.031881454872025,7,0.5848696757787667,1.2545025462675443,0,0,1.0,43.16623701058568,2005,64310.0,0,1,Andina
05148,2006,ANTIOQUIA,EL CARMEN DE VIBORAL,12946,3587.0,27.707399969102426,349.0,290.0,13585.0,2.56900993743099,7,9.112946669060872,2.393162393162393,0,0,1.0,17.956164116249223,2005,64310.0,0,1,Andina
05150,2006,ANTIOQUIA,CAROLINA,1553,339.0,21.8287186091436,53.0,26.0,1632.0,3.247549019607844,7,5.441640378548896,4.090577063550037,0,0,1.0,17.418351477449455,2005,64310.0,0,1,Andina
05154,2006,ANTIOQUIA,CAUCASIA,20638,3837.0,18.59191782149433,500.0,310.0,21448.0,2.331219694143976,7,1.6139255936418158,1.404774334393242,0,0,1.0,52.40959325002751,2005,64310.0,0,1,Andina
05172,2006,ANTIOQUIA,CHIGORODO,10278,1281.0,12.46351430239346,251.0,97.0,10626.0,2.3621306230001884,7,1.001840114496013,1.5444400159426066,0,0,1.0,40.15411801070478,2005,64310.0,0,1,Andina
05190,2006,ANTIOQUIA,CISNEROS,3316,784.0,23.64294330518697,101.0,52.0,3469.0,2.9115018737388296,7,2.3666771852319344,1.931783881678237,0,0,1.0,23.752542770805896,2005,64310.0,0,1,Andina
05197,2006,ANTIOQUIA,COCORNA,2987,189.0,6.327418814864412,24.0,27.0,3038.0,0.7899934167215273,7,6.086956521739131,4.11522633744856,0,0,1.0,36.2308664513411,2005,64310.0,0,1,Andina
05206,2006,ANTIOQUIA,CONCEPCION,1469,90.0,6.126616746085772,25.0,12.0,1506.0,1.6600265604249669,7,2.745995423340961,3.2624113475177303,0,0,1.0,25.94644506001847,2005,64310.0,0,1,Andina
05209,2006,ANTIOQUIA,CONCORDIA,5107,256.0,5.01272762874486,95.0,53.0,5255.0,1.807802093244529,7,1.1982570806100217,2.1281034842478617,0,0,1.0,39.219824663116256,2005,64310.0,0,1,Andina
05212,2006,ANTIOQUIA,COPACABANA,20290,7492.0,36.924593395761455,627.0,568.0,21485.0,2.918315103560624,7,6.524544469106488,2.326720548616213,0,0,1.0,9.752891229176813,2005,64310.0,0,1,Andina
05234,2006,ANTIOQUIA,DABEIBA,2157,193.0,8.947612424663886,60.0,28.0,2245.0,2.67260579064588,7,3.102625298329356,3.400222965440357,0,0,1.0,66.48931522775008,2005,64310.0,0,1,Andina
05237,2006,ANTIOQUIA,DONMATIAS,4928,502.0,10.186688311688313,127.0,45.0,5100.0,2.4901960784313726,7,1.8272050530115047,1.6469038208168645,0,0,1.0,18.720800476450144,2005,64310.0,0,1,Andina
05240,2006,ANTIOQUIA,EBEJICO,3585,302.0,8.423988842398884,82.0,63.0,3730.0,2.1983914209115283,7,1.709619800969635,1.2617516081147946,0,0,1.0,42.51936404402772,2005,64310.0,0,1,Andina
05250,2006,ANTIOQUIA,EL BAGRE,6262,658.0,10.507824976045992,116.0,100.0,6478.0,1.7906761346094473,7,1.415025528811087,1.1048158640226629,0,0,1.0,50.75461318551599,2005,64310.0,0,1,Andina
05264,2006,ANTIOQUIA,ENTRERRIOS,2807,208.0,7.410046312789455,100.0,21.0,2928.0,3.415300546448088,7,1.5821501014198782,1.3872374157748713,0,0,1.0,15.264127714851655,2005,64310.0,0,1,Andina
05266,2006,ANTIOQUIA,ENVIGADO,92187,17662.0,19.158883573605824,2860.0,1596.0,96643.0,2.959345219001894,7,4.84369552585706,1.9852619536323564,0,0,1.0,5.4303186490817845,2005,64310.0,0,1,Andina
05282,2006,ANTIOQUIA,FREDONIA,5984,1131.0,18.900401069518715,128.0,81.0,6193.0,2.066849668981108,7,4.909803921568628,1.7230955259975818,0,0,1.0,24.5182299631008,2005,64310.0,0,1,Andina
05284,2006,ANTIOQUIA,FRONTINO,3836,430.0,11.209593326381649,110.0,55.0,4001.0,2.749312671832042,7,2.5217391304347827,2.941176470588235,0,0,1.0,44.36635514893826,2005,64310.0,0,1,Andina
05306,2006,ANTIOQUIA,GIRALDO,1160,133.0,11.46551724137931,15.0,9.0,1184.0,1.266891891891892,7,0.6306306306306306,1.9163763066202089,0,0,1.0,47.37859386325199,2005,64310.0,0,1,Andina
05308,2006,ANTIOQUIA,GIRARDOTA,12628,5651.0,44.74976243268926,414.0,346.0,13388.0,3.092321481924111,7,5.788145182348333,2.9960707269155207,0,0,1.0,15.433221307370587,2005,64310.0,0,1,Andina
05310,2006,ANTIOQUIA,GOMEZ PLATA,2809,480.0,17.087931648273408,67.0,65.0,2941.0,2.2781366882012923,7,4.589160839160839,2.548294286888615,0,0,1.0,39.44886009838278,2005,64310.0,0,1,Andina
05313,2006,ANTIOQUIA,GRANADA,1845,123.0,6.666666666666667,51.0,32.0,1928.0,2.645228215767635,7,6.728538283062645,17.120387174833635,0,0,1.0,27.257148977187533,2005,64310.0,0,1,Andina
05315,2006,ANTIOQUIA,GUADALUPE,1014,221.0,21.7948717948718,39.0,13.0,1066.0,3.658536585365853,7,5.498721227621484,7.958477508650519,0,0,1.0,48.21782178217822,2005,64310.0,0,1,Andina
05318,2006,ANTIOQUIA,GUARNE,11977,2188.0,18.268347666360523,355.0,301.0,12633.0,2.810100530357001,7,3.7915936952714535,1.7731993582707086,0,0,1.0,17.72544567755159,2005,64310.0,0,1,Andina
05321,2006,ANTIOQUIA,GUATAPE,2373,196.0,8.259587020648967,25.0,26.0,2424.0,1.0313531353135312,7,3.973139339675433,1.942795466810577,0,0,1.0,14.50621755955658,2005,64310.0,0,1,Andina
