VIGENCIA,COD_ESTADO_DEPTO,ESTADO_DEPTO,PER_OCU,PER_DECLA,EVENTOS
2022,70,Sucre,10340,28956,12350
2022,73,Tolima,3052,2705,4401
2022,76,Valle del Cauca,42606,53853,48804
2022,81,Arauca,34125,17502,45254
2022,85,Casanare,1021,2863,1419
2022,86,Putumayo,6995,4859,10085
2022,91,Amazonas,254,156,346
2022,94,Guainia,422,487,588
2022,95,Guaviare,1321,777,1727
2022,97,Vaupes,60,36,95
2022,99,Vichada,446,175,692
